scenario,topology_model,node_count,controller_budget,trial,algorithm,avg_latency,runtime_ms,iterations_budget,iterations_to_converge,topology_seed,trial_seed,controllers
barabasi_albert_n100_k3,barabasi_albert,100,3,5,kmeans,7.231901153365036,28.120200033299625,1,1,5027,50732,n36;n29;n47
barabasi_albert_n100_k3,barabasi_albert,100,3,5,genetic,4.8017053869683215,401.65109996451065,50,49,5027,50732,n0;n14;n64
barabasi_albert_n100_k3,barabasi_albert,100,3,5,bandit_rl,5.025468523417563,11383.701199956704,300,33,5027,50732,n0;n6;n8
barabasi_albert_n100_k5,barabasi_albert,100,5,1,random,9.075226827751466,0.041300023440271616,1,1,6024,60215,n77;n82;n28;n96;n42
barabasi_albert_n100_k5,barabasi_albert,100,5,1,greedy_k_center,5.926724339813768,1.278200012166053,1,1,6024,60215,n3;n97;n99;n73;n68
barabasi_albert_n100_k5,barabasi_albert,100,5,1,kmeans,7.147258474424154,27.881900023203343,1,1,6024,60215,n49;n46;n36;n2;n45
barabasi_albert_n100_k5,barabasi_albert,100,5,1,genetic,5.071556593180898,532.821899978444,50,44,6024,60215,n17;n2;n22;n24;n3
barabasi_albert_n100_k5,barabasi_albert,100,5,1,bandit_rl,5.5525434538509,12048.137300007511,300,16,6024,60215,n0;n1;n11;n3;n4
barabasi_albert_n100_k5,barabasi_albert,100,5,2,random,7.600371606955265,0.029600050766021013,1,1,6024,60346,n73;n8;n67;n98;n40
barabasi_albert_n100_k5,barabasi_albert,100,5,2,greedy_k_center,5.926724339813768,0.9360000258311629,1,1,6024,60346,n3;n97;n99;n73;n68
barabasi_albert_n100_k5,barabasi_albert,100,5,2,kmeans,7.147258474424154,23.143099970184267,1,1,6024,60346,n2;n36;n46;n49;n45
barabasi_albert_n100_k5,barabasi_albert,100,5,2,genetic,4.912809554144265,495.56339997798204,50,24,6024,60346,n0;n13;n17;n2;n3
barabasi_albert_n100_k5,barabasi_albert,100,5,2,bandit_rl,5.5525434538509,11119.260800012853,300,18,6024,60346,n0;n1;n11;n3;n4
barabasi_albert_n100_k5,barabasi_albert,100,5,3,random,6.7325017161621314,0.03190001007169485,1,1,6024,60477,n19;n56;n47;n66;n4
barabasi_albert_n100_k5,barabasi_albert,100,5,3,greedy_k_center,5.926724339813768,1.014699984807521,1,1,6024,60477,n3;n97;n99;n73;n68
barabasi_albert_n100_k5,barabasi_albert,100,5,3,kmeans,6.091321325790659,25.1929999794811,1,1,6024,60477,n55;n36;n2;n46;n0
barabasi_albert_n100_k5,barabasi_albert,100,5,3,genetic,4.912809554144265,457.614199956879,50,29,6024,60477,n0;n13;n17;n2;n3
barabasi_albert_n100_k5,barabasi_albert,100,5,3,bandit_rl,5.5525434538509,10979.07000000123,300,25,6024,60477,n0;n1;n11;n3;n4
barabasi_albert_n100_k5,barabasi_albert,100,5,4,random,7.115137233640935,0.03160000778734684,1,1,6024,60608,n61;n10;n32;n90;n21
barabasi_albert_n100_k5,barabasi_albert,100,5,4,greedy_k_center,5.926724339813768,1.0023000068031251,1,1,6024,60608,n3;n97;n99;n73;n68
barabasi_albert_n100_k5,barabasi_albert,100,5,4,kmeans,7.147258474424154,26.09569998458028,1,1,6024,60608,n45;n36;n49;n2;n46
barabasi_albert_n100_k5,barabasi_albert,100,5,4,genetic,4.912809554144265,454.65540001168847,50,44,6024,60608,n0;n13;n17;n2;n3
barabasi_albert_n100_k5,barabasi_albert,100,5,4,bandit_rl,5.5525434538509,10829.25409998279,300,18,6024,60608,n0;n1;n11;n3;n4
barabasi_albert_n100_k5,barabasi_albert,100,5,5,random,7.545042608835758,0.03160000778734684,1,1,6024,60739,n66;n30;n10;n92;n93
barabasi_albert_n100_k5,barabasi_albert,100,5,5,greedy_k_center,5.926724339813768,1.0607000440359116,1,1,6024,60739,n3;n97;n99;n73;n68
barabasi_albert_n100_k5,barabasi_albert,100,5,5,kmeans,7.147258474424154,22.631099971476942,1,1,6024,60739,n2;n49;n46;n36;n45
barabasi_albert_n100_k5,barabasi_albert,100,5,5,genetic,5.008097286040555,456.2712999759242,50,49,6024,60739,n0;n13;n2;n26;n3
barabasi_albert_n100_k5,barabasi_albert,100,5,5,bandit_rl,5.5525434538509,11318.492599995807,300,26,6024,60739,n0;n1;n11;n3;n4
waxman_n20_k3,waxman,20,3,1,random,3.85748786080575,0.028500042390078306,1,1,7021,70222,n4;n2;n1
waxman_n20_k3,waxman,20,3,1,greedy_k_center,4.206864579280658,0.08720002369955182,1,1,7021,70222,n5;n6;n17
waxman_n20_k3,waxman,20,3,1,kmeans,4.003264558208601,22.179300023708493,1,1,7021,70222,n6;n5;n2
waxman_n20_k3,waxman,20,3,1,genetic,3.0808676455944077,116.13039998337626,50,2,7021,70222,n10;n2;n3
waxman_n20_k3,waxman,20,3,1,bandit_rl,3.1844558528494664,144.94739996735007,300,2,7021,70222,n10;n11;n6
waxman_n20_k3,waxman,20,3,2,random,3.4878171729884686,0.028100039344280958,1,1,7021,70353,n1;n17;n10
waxman_n20_k3,waxman,20,3,2,greedy_k_center,4.206864579280658,0.08510000770911574,1,1,7021,70353,n5;n6;n17
waxman_n20_k3,waxman,20,3,2,kmeans,4.003264558208601,16.987500013783574,1,1,7021,70353,n5;n2;n6
waxman_n20_k3,waxman,20,3,2,genetic,3.0808676455944077,115.23309996118769,50,3,7021,70353,n1;n10;n2
waxman_n20_k3,waxman,20,3,2,bandit_rl,3.2378918403505637,216.60759998485446,300,33,7021,70353,n11;n5;n9
waxman_n20_k3,waxman,20,3,3,random,5.053122056467484,0.030499999411404133,1,1,7021,70484,n7;n12;n8
waxman_n20_k3,waxman,20,3,3,greedy_k_center,4.206864579280658,0.09409995982423425,1,1,7021,70484,n5;n6;n17
waxman_n20_k3,waxman,20,3,3,kmeans,4.003264558208601,21.419099997729063,1,1,7021,70484,n6;n2;n5
waxman_n20_k3,waxman,20,3,3,genetic,3.0808676455944077,109.18959998525679,50,2,7021,70484,n1;n10;n2
waxman_n20_k3,waxman,20,3,3,bandit_rl,3.0808676455944077,185.45230000745505,300,15,7021,70484,n10;n11;n3
waxman_n20_k3,waxman,20,3,4,random,3.408399331398992,0.030499999411404133,1,1,7021,70615,n4;n5;n11
waxman_n20_k3,waxman,20,3,4,greedy_k_center,4.206864579280658,0.09950000094249845,1,1,7021,70615,n5;n6;n17
waxman_n20_k3,waxman,20,3,4,kmeans,4.003264558208601,20.44460002798587,1,1,7021,70615,n6;n2;n5
waxman_n20_k3,waxman,20,3,4,genetic,3.0808676455944077,109.44569995626807,50,1,7021,70615,n10;n2;n3
waxman_n20_k3,waxman,20,3,4,bandit_rl,3.0808676455944077,167.3848000355065,300,60,7021,70615,n10;n2;n3
waxman_n20_k3,waxman,20,3,5,random,5.4121978449611,0.028699985705316067,1,1,7021,70746,n17;n19;n7
waxman_n20_k3,waxman,20,3,5,greedy_k_center,4.206864579280658,0.14509999891743064,1,1,7021,70746,n5;n6;n17
waxman_n20_k3,waxman,20,3,5,kmeans,4.003264558208601,18.70239997515455,1,1,7021,70746,n5;n2;n6
waxman_n20_k3,waxman,20,3,5,genetic,3.0808676455944077,99.0987999830395,50,14,7021,70746,n1;n10;n2
waxman_n20_k3,waxman,20,3,5,bandit_rl,3.2378918403505637,160.67329997895285,300,45,7021,70746,n11;n5;n9
waxman_n20_k5,waxman,20,5,1,random,2.5183056098159042,0.2046999870799482,1,1,8018,80229,n6;n13;n17;n1;n0
waxman_n20_k5,waxman,20,5,1,greedy_k_center,2.0539171014124666,1.6589000006206334,1,1,8018,80229,n11;n15;n14;n17;n3
waxman_n20_k5,waxman,20,5,1,kmeans,2.705731127060022,22.998300031758845,1,1,8018,80229,n10;n13;n16;n9;n3
waxman_n20_k5,waxman,20,5,1,genetic,1.5417542627165666,118.03050001617521,50,44,8018,80229,n1;n13;n15;n19;n5
waxman_n20_k5,waxman,20,5,1,bandit_rl,1.671547175623547,164.3348999787122,300,51,8018,80229,n10;n12;n15;n19;n4
waxman_n20_k5,waxman,20,5,2,random,2.596529820004797,0.02889998722821474,1,1,8018,80360,n14;n15;n16;n12;n8
waxman_n20_k5,waxman,20,5,2,greedy_k_center,2.0539171014124666,0.15570002142339945,1,1,8018,80360,n11;n15;n14;n17;n3
waxman_n20_k5,waxman,20,5,2,kmeans,2.705731127060022,22.507999965455383,1,1,8018,80360,n13;n10;n16;n9;n3
